Trade #,Type,Date and time,Signal,Price USDT,Position size (qty),Position size (value),Net P&L USDT,Net P&L %,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative P&L USDT,Cumulative P&L %
1,Exit long,2025-01-06 10:00,Max Hold,3647.7,0.0288,99.784512,5.17,5.18,6,6.01,-0.19,-0.19,5.17,0.01
1,Entry long,2025-01-03 20:00,Long Entry,3464.74,0.0288,99.784512,5.17,5.18,6,6.01,-0.19,-0.19,5.17,0.01
2,Exit long,2025-01-09 02:00,SL,3262.11,0.0271,99.84995,-11.54,-11.55,1.57,1.57,-13,-13.02,-6.37,-0.01
2,Entry long,2025-01-06 23:00,Long Entry,3684.5,0.0271,99.84995,-11.54,-11.55,1.57,1.57,-13,-13.02,-6.37,-0.01
3,Exit long,2025-01-14 10:00,Max Hold,3138,0.0305,99.817045,-4.21,-4.21,1.95,1.95,-11.42,-11.43,-10.58,-0.01
3,Entry long,2025-01-11 20:00,Long Entry,3272.69,0.0305,99.817045,-4.21,-4.21,1.95,1.95,-11.42,-11.43,-10.58,-0.01
4,Exit short,2025-01-15 22:00,Flip,3297.01,0.0312,99.783216,-3.18,-3.19,0.36,0.36,-3.15,-3.15,-13.76,-0.01
4,Entry short,2025-01-15 18:00,Short Entry,3198.18,0.0312,99.783216,-3.18,-3.19,0.36,0.36,-3.15,-3.15,-13.76,-0.01
5,Exit long,2025-01-18 08:00,Max Hold,3472.38,0.0303,99.899403,5.21,5.21,6.85,6.86,-1.08,-1.08,-8.55,-0.01
5,Entry long,2025-01-15 22:00,Flip to Long,3297.01,0.0303,99.899403,5.21,5.21,6.85,6.86,-1.08,-1.08,-8.55,-0.01
6,Exit long,2025-01-21 22:00,Max Hold,3308.63,0.0302,99.862642,-0.04,-0.04,4.45,4.46,-5.4,-5.40,-8.6,-0.01
6,Entry long,2025-01-19 08:00,Long Entry,3306.71,0.0302,99.862642,-0.04,-0.04,4.45,4.46,-5.4,-5.40,-8.6,-0.01
7,Exit long,2025-01-25 05:00,Flip,3327.85,0.0309,99.897846,2.83,2.83,6.04,6.04,-1.3,-1.30,-5.76,-0.01
7,Entry long,2025-01-23 22:00,Long Entry,3232.94,0.0309,99.897846,2.83,2.83,6.04,6.04,-1.3,-1.30,-5.76,-0.01
8,Exit short,2025-01-25 20:00,Flip,3305.51,0.03,99.8355,0.57,0.57,1.79,1.79,-0.59,-0.59,-5.19,-0.01
8,Entry short,2025-01-25 05:00,Flip to Short,3327.85,0.03,99.8355,0.57,0.57,1.79,1.79,-0.59,-0.59,-5.19,-0.01
9,Exit long,2025-01-26 12:00,Max Hold,3337.46,0.0302,99.826402,0.86,0.87,1.29,1.29,-0.45,-0.45,-4.33,0.00
9,Entry long,2025-01-25 20:00,Flip to Long,3305.51,0.0302,99.826402,0.86,0.87,1.29,1.29,-0.45,-0.45,-4.33,0.00
10,Exit short,2025-01-28 05:00,Flip,3143.98,0.0303,99.8991,4.54,4.54,8.34,8.34,-1.48,-1.48,0.21,0.00
10,Entry short,2025-01-26 18:00,Short Entry,3297,0.0303,99.8991,4.54,4.54,8.34,8.34,-1.48,-1.48,0.21,0.00
11,Exit long,2025-01-29 08:00,Max Hold,3075.96,0.0318,99.978564,-2.26,-2.26,2.94,2.94,-3.42,-3.42,-2.05,0.00
11,Entry long,2025-01-28 05:00,Flip to Long,3143.98,0.0318,99.978564,-2.26,-2.26,2.94,2.94,-3.42,-3.42,-2.05,0.00
12,Exit long,2025-02-02 02:00,Max Hold,3260.71,0.0312,99.849048,1.78,1.79,7.32,7.32,-0.78,-0.78,-0.27,0.00
12,Entry long,2025-01-30 12:00,Long Entry,3200.29,0.0312,99.849048,1.78,1.79,7.32,7.32,-0.78,-0.78,-0.27,0.00
13,Exit long,2025-02-10 07:00,Max Hold,2614.63,0.0366,99.858342,-4.26,-4.26,2.43,2.43,-7.75,-7.75,-4.53,0.00
13,Entry long,2025-02-07 17:00,Long Entry,2728.37,0.0366,99.858342,-4.26,-4.26,2.43,2.43,-7.75,-7.75,-4.53,0.00
14,Exit short,2025-02-12 16:00,Flip,2617.26,0.0379,99.78312,0.49,0.49,2.98,2.98,-1.7,-1.70,-4.04,0.00
14,Entry short,2025-02-11 22:00,Short Entry,2632.8,0.0379,99.78312,0.49,0.49,2.98,2.98,-1.7,-1.70,-4.04,0.00
15,Exit long,2025-02-14 12:00,Max Hold,2713.99,0.0382,99.979332,3.59,3.59,6.74,6.74,-2.92,-2.92,-0.45,0.00
15,Entry long,2025-02-12 16:00,Flip to Long,2617.26,0.0382,99.979332,3.59,3.59,6.74,6.74,-2.92,-2.92,-0.45,0.00
16,Exit long,2025-02-18 20:00,Max Hold,2678.13,0.037,99.89334,-0.9,-0.90,5.46,5.46,-2.53,-2.53,-1.35,0.00
16,Entry long,2025-02-16 06:00,Long Entry,2699.82,0.037,99.89334,-0.9,-0.90,5.46,5.46,-2.53,-2.53,-1.35,0.00
17,Exit short,2025-02-23 14:00,Max Hold,2780.51,0.0368,99.773632,-2.65,-2.65,3.5,3.51,-4.97,-4.98,-4,0.00
17,Entry short,2025-02-21 00:00,Short Entry,2711.24,0.0368,99.773632,-2.65,-2.65,3.5,3.51,-4.97,-4.98,-4,0.00
18,Exit long,2025-02-24 12:00,Flip,2716.57,0.0354,99.956856,-3.89,-3.89,1.27,1.27,-4.07,-4.07,-7.89,-0.01
18,Entry long,2025-02-23 16:00,Long Entry,2823.64,0.0354,99.956856,-3.89,-3.89,1.27,1.27,-4.07,-4.07,-7.89,-0.01
19,Exit short,2025-02-26 06:00,Max Hold,2512.87,0.0368,99.969776,7.4,7.40,15.75,15.75,-0.72,-0.72,-0.49,0.00
19,Entry short,2025-02-24 12:00,Flip to Short,2716.57,0.0368,99.969776,7.4,7.40,15.75,15.75,-0.72,-0.72,-0.49,0.00
20,Exit short,2025-03-01 00:00,Flip,2221.64,0.0411,99.952734,8.55,8.55,14.83,14.83,-1.25,-1.25,8.06,0.01
20,Entry short,2025-02-26 21:00,Short Entry,2431.94,0.0411,99.952734,8.55,8.55,14.83,14.83,-1.25,-1.25,8.06,0.01
21,Exit long,2025-03-01 11:00,Max Hold,2254.82,0.045,99.9738,1.39,1.39,2.32,2.32,-1.36,-1.36,9.45,0.01
21,Entry long,2025-03-01 00:00,Flip to Long,2221.64,0.045,99.9738,1.39,1.39,2.32,2.32,-1.36,-1.36,9.45,0.01
22,Exit long,2025-03-05 08:00,Max Hold,2170.51,0.0446,99.95975,-3.25,-3.25,13.72,13.72,-11.7,-11.70,6.2,0.01
22,Entry long,2025-03-02 18:00,Long Entry,2241.25,0.0446,99.95975,-3.25,-3.25,13.72,13.72,-11.7,-11.70,6.2,0.01
23,Exit long,2025-03-11 02:00,SL,1916.68,0.0461,99.920828,-11.66,-11.66,3.04,3.04,-12.13,-12.14,-5.46,-0.01
23,Entry long,2025-03-08 21:00,Long Entry,2167.48,0.0461,99.920828,-11.66,-11.66,3.04,3.04,-12.13,-12.14,-5.46,-0.01
24,Exit long,2025-03-21 18:00,Max Hold,1968.3,0.0525,99.935325,3.3,3.30,8.67,8.67,-0.35,-0.35,-2.16,0.00
24,Entry long,2025-03-19 04:00,Long Entry,1903.53,0.0525,99.935325,3.3,3.30,8.67,8.67,-0.35,-0.35,-2.16,0.00
25,Exit long,2025-03-25 10:00,Flip,2064.36,0.05,99.8585,3.26,3.26,5.3,5.31,-1.09,-1.09,1.1,0.00
25,Entry long,2025-03-23 10:00,Long Entry,1997.17,0.05,99.8585,3.26,3.26,5.3,5.31,-1.09,-1.09,1.1,0.00
26,Exit short,2025-03-26 00:00,Max Hold,2066.45,0.0484,99.915024,-0.2,-0.20,1.32,1.32,-0.77,-0.77,0.9,0.00
26,Entry short,2025-03-25 10:00,Flip to Short,2064.36,0.0484,99.915024,-0.2,-0.20,1.32,1.32,-0.77,-0.77,0.9,0.00
27,Exit short,2025-03-29 07:00,Flip,1900.41,0.0493,99.93603,6.15,6.15,8.47,8.48,-0.53,-0.53,7.05,0.01
27,Entry short,2025-03-26 22:00,Short Entry,2027.1,0.0493,99.93603,6.15,6.15,8.47,8.48,-0.53,-0.53,7.05,0.01
28,Exit long,2025-03-29 12:00,Max Hold,1898.94,0.0526,99.961566,-0.18,-0.18,0.61,0.61,-0.86,-0.86,6.87,0.01
28,Entry long,2025-03-29 07:00,Flip to Long,1900.41,0.0526,99.961566,-0.18,-0.18,0.61,0.61,-0.86,-0.86,6.87,0.01
29,Exit short,2025-03-31 20:00,Flip,1812.51,0.0553,99.84415,-0.49,-0.49,2.13,2.13,-1.66,-1.66,6.38,0.01
29,Entry short,2025-03-30 22:00,Short Entry,1805.5,0.0553,99.84415,-0.49,-0.49,2.13,2.13,-1.66,-1.66,6.38,0.01
30,Exit long,2025-04-02 12:00,Max Hold,1875.4,0.0551,99.869301,3.36,3.37,6.3,6.31,-1.15,-1.15,9.75,0.01
30,Entry long,2025-03-31 20:00,Flip to Long,1812.51,0.0551,99.869301,3.36,3.37,6.3,6.31,-1.15,-1.15,9.75,0.01
31,Exit long,2025-04-03 07:00,Flip,1796.91,0.0526,99.94526,-5.53,-5.53,2.99,2.99,-5.96,-5.96,4.22,0.00
31,Entry long,2025-04-03 00:00,Long Entry,1900.1,0.0526,99.94526,-5.53,-5.53,2.99,2.99,-5.96,-5.96,4.22,0.00
32,Exit short,2025-04-05 14:00,Max Hold,1809.13,0.0556,99.908196,-0.78,-0.78,2.7,2.70,-2.72,-2.72,3.44,0.00
32,Entry short,2025-04-03 07:00,Flip to Short,1796.91,0.0556,99.908196,-0.78,-0.78,2.7,2.70,-2.72,-2.72,3.44,0.00
33,Exit long,2025-04-12 06:00,Max Hold,1572.23,0.0674,99.946786,5.92,5.92,13.77,13.77,-3.01,-3.01,9.36,0.01
33,Entry long,2025-04-09 16:00,Long Entry,1482.89,0.0674,99.946786,5.92,5.92,13.77,13.77,-3.01,-3.01,9.36,0.01
34,Exit long,2025-04-16 16:00,Max Hold,1563.44,0.0611,99.9596,-4.53,-4.53,3.35,3.35,-5.3,-5.30,4.83,0.00
34,Entry long,2025-04-14 02:00,Long Entry,1636,0.0611,99.9596,-4.53,-4.53,3.35,3.35,-5.3,-5.30,4.83,0.00
35,Exit long,2025-04-17 23:00,Flip,1568.96,0.0628,99.852,-1.42,-1.42,1.52,1.52,-3.34,-3.35,3.41,0.00
35,Entry long,2025-04-16 23:00,Long Entry,1590,0.0628,99.852,-1.42,-1.42,1.52,1.52,-3.34,-3.35,3.41,0.00
36,Exit short,2025-04-18 20:00,Flip,1589.9,0.0637,99.942752,-1.43,-1.43,0,0.00,-3.1,-3.10,1.98,0.00
36,Entry short,2025-04-17 23:00,Flip to Short,1568.96,0.0637,99.942752,-1.43,-1.43,0,0.00,-3.1,-3.10,1.98,0.00
37,Exit long,2025-04-19 13:00,Max Hold,1602.84,0.0628,99.84572,0.71,0.71,1.4,1.40,-0.82,-0.83,2.69,0.00
37,Entry long,2025-04-18 20:00,Flip to Long,1589.9,0.0628,99.84572,0.71,0.71,1.4,1.40,-0.82,-0.83,2.69,0.00
38,Exit long,2025-04-22 16:00,Max Hold,1618.6,0.0618,99.994254,-0.06,-0.06,2.42,2.42,-5.18,-5.18,2.62,0.00
38,Entry long,2025-04-20 02:00,Long Entry,1618.03,0.0618,99.994254,-0.06,-0.06,2.42,2.42,-5.18,-5.18,2.62,0.00
39,Exit long,2025-04-28 13:00,Max Hold,1786.85,0.0553,99.959727,-1.25,-1.25,2.68,2.68,-3.18,-3.18,1.38,0.00
39,Entry long,2025-04-25 23:00,Long Entry,1807.59,0.0553,99.959727,-1.25,-1.25,2.68,2.68,-3.18,-3.18,1.38,0.00
40,Exit long,2025-04-30 21:00,Flip,1774.28,0.0551,99.994929,-2.33,-2.33,0,0.00,-2.74,-2.74,-0.95,0.00
40,Entry long,2025-04-30 20:00,Long Entry,1814.79,0.0551,99.994929,-2.33,-2.33,0,0.00,-2.74,-2.74,-0.95,0.00
41,Exit short,2025-05-02 23:00,Flip,1847.99,0.0563,99.891964,-4.25,-4.25,2.41,2.41,-5.59,-5.59,-5.21,-0.01
41,Entry short,2025-04-30 21:00,Flip to Short,1774.28,0.0563,99.891964,-4.25,-4.25,2.41,2.41,-5.59,-5.59,-5.21,-0.01
42,Exit long,2025-05-03 10:00,Max Hold,1827.99,0.0541,99.976259,-1.18,-1.18,1.2,1.20,-1.27,-1.27,-6.39,-0.01
42,Entry long,2025-05-02 23:00,Flip to Long,1847.99,0.0541,99.976259,-1.18,-1.18,1.2,1.20,-1.27,-1.27,-6.39,-0.01
43,Exit long,2025-05-06 12:00,Max Hold,1805.49,0.0545,99.96063,-1.66,-1.66,0.79,0.79,-3,-3.00,-8.05,-0.01
43,Entry long,2025-05-03 22:00,Long Entry,1834.14,0.0545,99.96063,-1.66,-1.66,0.79,0.79,-3,-3.00,-8.05,-0.01
44,Exit long,2025-05-09 21:00,Max Hold,2339.58,0.0552,99.925248,29.11,29.11,37.51,37.52,-1.39,-1.39,21.06,0.02
44,Entry long,2025-05-07 07:00,Long Entry,1810.24,0.0552,99.925248,29.11,29.11,37.51,37.52,-1.39,-1.39,21.06,0.02
45,Exit long,2025-05-13 06:00,Max Hold,2478.85,0.0416,99.80672,3.21,3.22,9.34,9.35,-1.68,-1.68,24.27,0.02
45,Entry long,2025-05-10 16:00,Long Entry,2399.2,0.0416,99.80672,3.21,3.22,9.34,9.35,-1.68,-1.68,24.27,0.02
46,Exit long,2025-05-16 08:00,Max Hold,2547.76,0.0402,99.847554,2.47,2.47,10.2,10.21,-0.58,-0.58,26.74,0.03
46,Entry long,2025-05-13 18:00,Long Entry,2483.77,0.0402,99.847554,2.47,2.47,10.2,10.21,-0.58,-0.58,26.74,0.03
47,Exit long,2025-05-20 19:00,Max Hold,2514.98,0.0401,99.770805,0.98,0.98,3.96,3.97,-7.08,-7.10,27.72,0.03
47,Entry long,2025-05-18 05:00,Long Entry,2488.05,0.0401,99.770805,0.98,0.98,3.96,3.97,-7.08,-7.10,27.72,0.03
48,Exit short,2025-05-23 11:00,Flip,2704.94,0.0404,99.848196,-9.54,-9.55,0.51,0.51,-10.67,-10.68,18.18,0.02
48,Entry short,2025-05-22 02:00,Short Entry,2471.49,0.0404,99.848196,-9.54,-9.55,0.51,0.51,-10.67,-10.68,18.18,0.02
49,Exit long,2025-05-23 20:00,Flip,2565.32,0.0369,99.812286,-5.25,-5.26,0.88,0.88,-5.77,-5.78,12.93,0.01
49,Entry long,2025-05-23 11:00,Flip to Long,2704.94,0.0369,99.812286,-5.25,-5.26,0.88,0.88,-5.77,-5.78,12.93,0.01
50,Exit short,2025-05-24 11:00,Flip,2539.75,0.0389,99.790948,0.9,0.90,2.61,2.61,-1.06,-1.06,13.83,0.01
50,Entry short,2025-05-23 20:00,Flip to Short,2565.32,0.0389,99.790948,0.9,0.90,2.61,2.61,-1.06,-1.06,13.83,0.01
51,Exit long,2025-05-24 16:00,Max Hold,2545.78,0.0393,99.812175,0.14,0.14,0.84,0.84,-0.27,-0.27,13.97,0.01
51,Entry long,2025-05-24 11:00,Flip to Long,2539.75,0.0393,99.812175,0.14,0.14,0.84,0.84,-0.27,-0.27,13.97,0.01
52,Exit long,2025-05-30 06:00,Max Hold,2659.49,0.0383,99.846951,1.91,1.91,6.92,6.92,-0.09,-0.09,15.88,0.02
52,Entry long,2025-05-27 16:00,Long Entry,2606.97,0.0383,99.846951,1.91,1.91,6.92,6.92,-0.09,-0.09,15.88,0.02
53,Exit long,2025-06-04 14:00,Max Hold,2623.65,0.0396,99.8712,3.92,3.93,5.22,5.22,-2,-2.00,19.8,0.02
53,Entry long,2025-06-02 00:00,Long Entry,2522,0.0396,99.8712,3.92,3.93,5.22,5.22,-2,-2.00,19.8,0.02
