Trade #,Type,Date and time,Signal,Price USDT,Position size (qty),Position size (value),Net P&L USDT,Net P&L %,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative P&L USDT,Cumulative P&L %
1,Exit long,2023-01-02 09:00,Mid Exit,1197.78,0.0833,99.988322,-0.31,-0.31,0.32,0.32,-0.33,-0.33,-0.31,0.00
1,Entry long,2023-01-02 02:00,Long Entry,1200.34,0.0833,99.988322,-0.31,-0.31,0.32,0.32,-0.33,-0.33,-0.31,0.00
2,Exit short,2023-01-02 12:00,Mid Exit,1201.43,0.0837,99.983835,-0.68,-0.68,0.02,0.02,-0.78,-0.78,-0.99,0.00
2,Entry short,2023-01-02 10:00,Short Entry,1194.55,0.0837,99.983835,-0.68,-0.68,0.02,0.02,-0.78,-0.78,-0.99,0.00
3,Exit long,2023-01-03 07:00,Mid Exit,1214.33,0.0824,99.937192,0.02,0.02,0.95,0.95,-0.28,-0.28,-0.97,0.00
3,Entry long,2023-01-02 16:00,Long Entry,1212.83,0.0824,99.937192,0.02,0.02,0.95,0.95,-0.28,-0.28,-0.97,0.00
4,Exit short,2023-01-03 14:00,Mid Exit,1217.34,0.0823,99.882572,-0.4,-0.40,0.06,0.06,-0.37,-0.37,-1.37,0.00
4,Entry short,2023-01-03 10:00,Short Entry,1213.64,0.0823,99.882572,-0.4,-0.40,0.06,0.06,-0.37,-0.37,-1.37,0.00
5,Exit short,2023-01-04 08:00,Mid Exit,1214.22,0.0826,99.932784,-0.46,-0.46,0.51,0.51,-0.64,-0.64,-1.83,0.00
5,Entry short,2023-01-03 23:00,Short Entry,1209.84,0.0826,99.932784,-0.46,-0.46,0.51,0.51,-0.64,-0.64,-1.83,0.00
6,Exit long,2023-01-05 05:00,Mid Exit,1250.78,0.0817,99.970571,2.12,2.12,4.15,4.15,-0.05,-0.05,0.28,0.00
6,Entry long,2023-01-04 10:00,Long Entry,1223.63,0.0817,99.970571,2.12,2.12,4.15,4.15,-0.05,-0.05,0.28,0.00
7,Exit short,2023-01-05 20:00,Mid Exit,1255.35,0.0799,99.916548,-0.49,-0.49,0.39,0.39,-0.48,-0.48,-0.2,0.00
7,Entry short,2023-01-05 15:00,Short Entry,1250.52,0.0799,99.916548,-0.49,-0.49,0.39,0.39,-0.48,-0.48,-0.2,0.00
8,Exit short,2023-01-06 03:00,Mid Exit,1250.81,0.0802,99.975716,-0.44,-0.44,0.3,0.30,-0.54,-0.54,-0.64,0.00
8,Entry short,2023-01-05 22:00,Short Entry,1246.58,0.0802,99.975716,-0.44,-0.44,0.3,0.30,-0.54,-0.54,-0.64,0.00
9,Exit short,2023-01-06 22:00,Mid Exit,1250.35,0.0801,99.92475,-0.33,-0.33,1.11,1.11,-0.56,-0.56,-0.97,0.00
9,Entry short,2023-01-06 15:00,Short Entry,1247.5,0.0801,99.92475,-0.33,-0.33,1.11,1.11,-0.56,-0.56,-0.97,0.00
10,Exit long,2023-01-07 13:00,Mid Exit,1264.16,0.0792,99.988416,0.03,0.03,1.16,1.16,-0.29,-0.29,-0.94,0.00
10,Entry long,2023-01-07 00:00,Long Entry,1262.48,0.0792,99.988416,0.03,0.03,1.16,1.16,-0.29,-0.29,-0.94,0.00
11,Exit short,2023-01-08 00:00,Mid Exit,1264.5,0.0791,99.934149,-0.19,-0.19,0.18,0.18,-0.19,-0.19,-1.12,0.00
11,Entry short,2023-01-07 19:00,Short Entry,1263.39,0.0791,99.934149,-0.19,-0.19,0.18,0.18,-0.19,-0.19,-1.12,0.00
12,Exit short,2023-01-08 04:00,Mid Exit,1264.82,0.0792,99.965448,-0.31,-0.31,0.02,0.02,-0.33,-0.33,-1.43,0.00
