Trade #,Type,Date and time,Signal,Price USDT,Position size (qty),Position size (value),Net P&L USDT,Net P&L %,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative P&L USDT,Cumulative P&L %
1,Exit long,2025-01-03 00:00,Max Hold,3454.83,0.0287,99.875426,-0.82,-0.82,0.84,0.84,-1.77,-1.77,-0.82,0.00
1,Entry long,2025-01-02 13:00,Long Entry,3479.98,0.0287,99.875426,-0.82,-0.82,0.84,0.84,-1.77,-1.77,-0.82,0.00
2,Exit long,2025-01-04 03:00,Max Hold,3595.43,0.028,99.80096,0.77,0.77,1.79,1.79,-0.05,-0.05,-0.05,0.00
2,Entry long,2025-01-03 16:00,Long Entry,3564.32,0.028,99.80096,0.77,0.77,1.79,1.79,-0.05,-0.05,-0.05,0.00
3,Exit long,2025-01-05 01:00,Max Hold,3648.76,0.0274,99.839298,0.04,0.04,0.8,0.80,-1.54,-1.54,-0.01,0.00
3,Entry long,2025-01-04 14:00,Long Entry,3643.77,0.0274,99.839298,0.04,0.04,0.8,0.80,-1.54,-1.54,-0.01,0.00
4,Exit short,2025-01-08 03:00,Max Hold,3381.21,0.0288,99.682848,2.21,2.21,3.05,3.06,-0.9,-0.91,2.19,0.00
4,Entry short,2025-01-07 16:00,Short Entry,3461.21,0.0288,99.682848,2.21,2.21,3.05,3.06,-0.9,-0.91,2.19,0.00
5,Exit short,2025-01-08 21:00,Max Hold,3284.51,0.0298,99.70782,1.73,1.73,4.1,4.11,-1.21,-1.21,3.92,0.00
5,Entry short,2025-01-08 10:00,Short Entry,3345.9,0.0298,99.70782,1.73,1.73,4.1,4.11,-1.21,-1.21,3.92,0.00
6,Exit short,2025-01-10 01:00,Max Hold,3221.75,0.031,99.81039,-0.16,-0.16,1.92,1.93,-3.71,-3.71,3.76,0.00
6,Entry short,2025-01-09 14:00,Short Entry,3219.69,0.031,99.81039,-0.16,-0.16,1.92,1.93,-3.71,-3.71,3.76,0.00
7,Exit short,2025-01-13 22:00,Max Hold,3112.82,0.032,99.77088,0.06,0.06,6.92,6.93,-0.22,-0.22,3.82,0.00
7,Entry short,2025-01-13 11:00,Short Entry,3117.84,0.032,99.77088,0.06,0.06,6.92,6.93,-0.22,-0.22,3.82,0.00
8,Exit long,2025-01-16 07:00,Max Hold,3378.92,0.0291,99.922416,-1.69,-1.70,1.09,1.09,-2.67,-2.67,2.12,0.00
8,Entry long,2025-01-15 20:00,Long Entry,3433.76,0.0291,99.922416,-1.69,-1.70,1.09,1.09,-2.67,-2.67,2.12,0.00
9,Exit short,2025-01-27 12:00,Max Hold,3057.49,0.0311,99.91497,4.73,4.73,5.94,5.94,-0.38,-0.38,6.85,0.01
9,Entry short,2025-01-27 01:00,Short Entry,3212.7,0.0311,99.91497,4.73,4.73,5.94,5.94,-0.38,-0.38,6.85,0.01
10,Exit short,2025-01-27 22:00,SL,3158.16,0.0327,99.857298,-3.52,-3.52,0,0.00,-6.08,-6.08,3.34,0.00
10,Entry short,2025-01-27 19:00,Short Entry,3053.74,0.0327,99.857298,-3.52,-3.52,0,0.00,-6.08,-6.08,3.34,0.00
11,Exit long,2025-01-31 21:00,SL,3314.53,0.0291,99.702711,-3.35,-3.36,0.25,0.25,-4.18,-4.19,-0.01,0.00
11,Entry long,2025-01-31 16:00,Long Entry,3426.21,0.0291,99.702711,-3.35,-3.36,0.25,0.25,-4.18,-4.19,-0.01,0.00
12,Exit short,2025-02-02 15:00,Max Hold,3085.49,0.0325,99.9856,-0.39,-0.39,0.84,0.84,-2.06,-2.06,-0.4,0.00
12,Entry short,2025-02-02 04:00,Short Entry,3076.48,0.0325,99.9856,-0.39,-0.39,0.84,0.84,-2.06,-2.06,-0.4,0.00
13,Exit short,2025-02-03 04:00,Max Hold,2525.36,0.0331,99.786901,16.11,16.13,30.88,30.93,-0.75,-0.76,15.7,0.02
13,Entry short,2025-02-02 17:00,Short Entry,3014.71,0.0331,99.786901,16.11,16.13,30.88,30.93,-0.75,-0.76,15.7,0.02
14,Exit long,2025-02-17 19:00,SL,2699.6,0.0353,99.741562,-4.54,-4.55,0.77,0.77,-4.66,-4.67,11.16,0.01
14,Entry long,2025-02-17 15:00,Long Entry,2825.54,0.0353,99.741562,-4.54,-4.55,0.77,0.77,-4.66,-4.67,11.16,0.01
15,Exit short,2025-02-25 10:00,Max Hold,2382.25,0.0398,99.765068,4.85,4.86,8.69,8.70,-1.63,-1.63,16.01,0.02
15,Entry short,2025-02-24 23:00,Short Entry,2506.66,0.0398,99.765068,4.85,4.86,8.69,8.70,-1.63,-1.63,16.01,0.02
16,Exit short,2025-02-27 06:00,Max Hold,2340.77,0.0436,99.915504,-2.24,-2.24,1.64,1.64,-4.02,-4.02,13.77,0.01
16,Entry short,2025-02-26 19:00,Short Entry,2291.64,0.0436,99.915504,-2.24,-2.24,1.64,1.64,-4.02,-4.02,13.77,0.01
17,Exit short,2025-02-28 13:00,Max Hold,2119.44,0.0456,99.988032,3.24,3.24,5.55,5.54,-1.55,-1.55,17.01,0.02
