Trade #,Type,Date and time,Signal,Price USDT,Position size (qty),Position size (value),Net P&L USDT,Net P&L %,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative P&L USDT,Cumulative P&L %
1,Exit long,2025-01-03 19:00,Max Hold,3604.63,0.0288,99.77328,3.94,3.95,4.35,4.35,-1.28,-1.28,3.94,0.00
1,Entry long,2025-01-03 02:00,Long Entry,3464.35,0.0288,99.77328,3.94,3.95,4.35,4.35,-1.28,-1.28,3.94,0.00
2,Exit long,2025-01-04 23:00,Max Hold,3658.8,0.0278,99.955734,1.66,1.66,2.02,2.02,-0.74,-0.74,5.6,0.01
2,Entry long,2025-01-04 06:00,Long Entry,3595.53,0.0278,99.955734,1.66,1.66,2.02,2.02,-0.74,-0.74,5.6,0.01
3,Exit short,2025-01-08 09:00,Max Hold,3364.56,0.0288,99.682848,2.69,2.69,4.42,4.43,-0.9,-0.91,8.28,0.01
3,Entry short,2025-01-07 16:00,Short Entry,3461.21,0.0288,99.682848,2.69,2.69,4.42,4.43,-0.9,-0.91,8.28,0.01
4,Exit short,2025-01-10 07:00,Max Hold,3276.55,0.031,99.81039,-1.86,-1.87,1.92,1.93,-3.71,-3.71,6.42,0.01
4,Entry short,2025-01-09 14:00,Short Entry,3219.69,0.031,99.81039,-1.86,-1.87,1.92,1.93,-3.71,-3.71,6.42,0.01
5,Exit short,2025-01-14 04:00,Max Hold,3157.58,0.032,99.77088,-1.37,-1.37,6.92,6.93,-1.85,-1.86,5.05,0.01
5,Entry short,2025-01-13 11:00,Short Entry,3117.84,0.032,99.77088,-1.37,-1.37,6.92,6.93,-1.85,-1.86,5.05,0.01
6,Exit long,2025-01-15 21:00,Max Hold,3432.73,0.0308,99.791692,5.83,5.84,7.12,7.14,-1.74,-1.74,10.88,0.01
6,Entry long,2025-01-15 04:00,Long Entry,3239.99,0.0308,99.791692,5.83,5.84,7.12,7.14,-1.74,-1.74,10.88,0.01
7,Exit long,2025-01-17 05:00,Max Hold,3369.69,0.0298,99.82255,0.49,0.49,1.35,1.35,-2.63,-2.64,11.37,0.01
7,Entry long,2025-01-16 12:00,Long Entry,3349.75,0.0298,99.82255,0.49,0.49,1.35,1.35,-2.63,-2.64,11.37,0.01
8,Exit long,2025-01-18 09:00,SL,3291.85,0.0284,99.795612,-6.4,-6.41,0.26,0.26,-7.54,-7.55,4.97,0.00
8,Entry long,2025-01-17 21:00,Long Entry,3513.93,0.0284,99.795612,-6.4,-6.41,0.26,0.26,-7.54,-7.55,4.97,0.00
9,Exit short,2025-01-20 00:00,Max Hold,3214.16,0.0304,99.78192,1.97,1.98,4.59,4.60,-5.14,-5.15,6.94,0.01
9,Entry short,2025-01-19 07:00,Short Entry,3282.3,0.0304,99.78192,1.97,1.98,4.59,4.60,-5.14,-5.15,6.94,0.01
10,Exit long,2025-01-21 02:00,Max Hold,3250.4,0.0294,99.729504,-4.27,-4.27,0.56,0.56,-5.7,-5.71,2.68,0.00
10,Entry long,2025-01-20 09:00,Long Entry,3392.16,0.0294,99.729504,-4.27,-4.27,0.56,0.56,-5.7,-5.71,2.68,0.00
11,Exit short,2025-01-21 17:00,Flip,3313.17,0.0308,99.827728,-2.32,-2.32,0.19,0.19,-3.38,-3.38,0.36,0.00
11,Entry short,2025-01-21 07:00,Short Entry,3241.16,0.0308,99.827728,-2.32,-2.32,0.19,0.19,-3.38,-3.38,0.36,0.00
12,Exit long,2025-01-22 00:00,Max Hold,3326.71,0.0301,99.726417,0.31,0.31,1.6,1.60,-0.42,-0.42,0.67,0.00
12,Entry long,2025-01-21 17:00,Flip to Long,3313.17,0.0301,99.726417,0.31,0.31,1.6,1.60,-0.42,-0.42,0.67,0.00
13,Exit short,2025-01-24 03:00,Max Hold,3284.65,0.0312,99.713016,-2.87,-2.88,0.22,0.22,-4.85,-4.86,-2.2,0.00
13,Entry short,2025-01-23 10:00,Short Entry,3195.93,0.0312,99.713016,-2.87,-2.88,0.22,0.22,-4.85,-4.86,-2.2,0.00
14,Exit long,2025-01-25 04:00,Max Hold,3318.01,0.0292,99.6596,-2.87,-2.88,0.45,0.45,-4.33,-4.34,-5.07,-0.01
14,Entry long,2025-01-24 11:00,Long Entry,3413,0.0292,99.6596,-2.87,-2.88,0.45,0.45,-4.33,-4.34,-5.07,-0.01
15,Exit short,2025-01-27 22:00,Max Hold,3158.16,0.0316,99.721384,-0.18,-0.18,4.23,4.24,-2.65,-2.66,-5.25,-0.01
15,Entry short,2025-01-27 05:00,Short Entry,3155.74,0.0316,99.721384,-0.18,-0.18,4.23,4.24,-2.65,-2.66,-5.25,-0.01
16,Exit short,2025-01-29 03:00,Max Hold,3112.81,0.0312,99.706152,2.49,2.49,4.87,4.88,-0.68,-0.68,-2.76,0.00
16,Entry short,2025-01-28 10:00,Short Entry,3195.71,0.0312,99.706152,2.49,2.49,4.87,4.88,-0.68,-0.68,-2.76,0.00
17,Exit long,2025-01-31 07:00,Max Hold,3261.67,0.0306,99.808938,-0.1,-0.10,0.59,0.59,-1.56,-1.56,-2.86,0.00
17,Entry long,2025-01-30 14:00,Long Entry,3261.73,0.0306,99.808938,-0.1,-0.10,0.59,0.59,-1.56,-1.56,-2.86,0.00
18,Exit short,2025-02-02 20:00,Max Hold,2957.76,0.0321,99.973845,4.93,4.93,7.16,7.15,-0.81,-0.81,2.07,0.00
18,Entry short,2025-02-02 03:00,Short Entry,3114.45,0.0321,99.973845,4.93,4.93,7.16,7.15,-0.81,-0.81,2.07,0.00
19,Exit long,2025-02-05 11:00,Max Hold,2777.43,0.0355,99.882445,-1.38,-1.38,1.89,1.89,-6.55,-6.55,0.68,0.00
19,Entry long,2025-02-04 18:00,Long Entry,2813.59,0.0355,99.882445,-1.38,-1.38,1.89,1.89,-6.55,-6.55,0.68,0.00
20,Exit long,2025-02-07 07:00,Max Hold,2695.18,0.0358,99.887728,-3.5,-3.50,0.12,0.12,-5.07,-5.07,-2.81,0.00
20,Entry long,2025-02-06 14:00,Long Entry,2790.16,0.0358,99.887728,-3.5,-3.50,0.12,0.12,-5.07,-5.07,-2.81,0.00
21,Exit short,2025-02-08 13:00,Max Hold,2603.75,0.0376,99.933656,1.93,1.93,3.6,3.60,-0.4,-0.40,-0.88,0.00
21,Entry short,2025-02-07 20:00,Short Entry,2657.81,0.0376,99.933656,1.93,1.93,3.6,3.60,-0.4,-0.40,-0.88,0.00
22,Exit long,2025-02-18 08:00,Max Hold,2671,0.0353,99.741562,-5.55,-5.56,0.77,0.77,-6.24,-6.25,-6.43,-0.01
22,Entry long,2025-02-17 15:00,Long Entry,2825.54,0.0353,99.741562,-5.55,-5.56,0.77,0.77,-6.24,-6.25,-6.43,-0.01
23,Exit long,2025-02-24 03:00,Max Hold,2775.52,0.0356,99.913892,-1.2,-1.21,1.88,1.88,-1.29,-1.29,-7.64,-0.01
23,Entry long,2025-02-23 10:00,Long Entry,2806.57,0.0356,99.913892,-1.2,-1.21,1.88,1.88,-1.29,-1.29,-7.64,-0.01
24,Exit short,2025-02-25 15:00,Max Hold,2378.05,0.0379,99.884313,9.66,9.67,13.15,13.16,-0.11,-0.11,2.02,0.00
24,Entry short,2025-02-24 22:00,Short Entry,2635.47,0.0379,99.884313,9.66,9.67,13.15,13.16,-0.11,-0.11,2.02,0.00
25,Exit short,2025-02-27 12:00,Max Hold,2352.77,0.0436,99.915504,-2.77,-2.77,1.64,1.64,-4.02,-4.02,-0.74,0.00
25,Entry short,2025-02-26 19:00,Short Entry,2291.64,0.0436,99.915504,-2.77,-2.77,1.64,1.64,-4.02,-4.02,-0.74,0.00
26,Exit short,2025-02-28 06:00,Max Hold,2131.02,0.0426,99.940026,9.06,9.06,10.82,10.82,-0.71,-0.71,8.32,0.01
26,Entry short,2025-02-27 13:00,Short Entry,2346.01,0.0426,99.940026,9.06,9.06,10.82,10.82,-0.71,-0.71,8.32,0.01
27,Exit long,2025-03-03 10:00,Max Hold,2346.11,0.0409,99.864712,-4.01,-4.01,4.38,4.38,-4.99,-4.99,4.31,0.00
27,Entry long,2025-03-02 17:00,Long Entry,2441.68,0.0409,99.864712,-4.01,-4.01,4.38,4.38,-4.99,-4.99,4.31,0.00
28,Exit short,2025-03-04 19:00,Max Hold,2146.83,0.0486,99.90459,-4.53,-4.54,3.63,3.63,-5.03,-5.04,-0.22,0.00
28,Entry short,2025-03-04 02:00,Short Entry,2055.65,0.0486,99.90459,-4.53,-4.54,3.63,3.63,-5.03,-5.04,-0.22,0.00
29,Exit long,2025-03-06 11:00,Max Hold,2293.05,0.0455,99.80698,4.42,4.43,5.66,5.67,-0.96,-0.96,4.21,0.00
29,Entry long,2025-03-05 18:00,Long Entry,2193.56,0.0455,99.80698,4.42,4.43,5.66,5.67,-0.96,-0.96,4.21,0.00
30,Exit short,2025-03-08 14:00,Max Hold,2189.26,0.0463,99.838542,-1.62,-1.63,2.42,2.42,-1.98,-1.98,2.58,0.00
30,Entry short,2025-03-07 21:00,Short Entry,2156.34,0.0463,99.838542,-1.62,-1.63,2.42,2.42,-1.98,-1.98,2.58,0.00
31,Exit short,2025-03-11 08:00,Max Hold,1903.07,0.0495,99.896445,5.6,5.60,13.1,13.10,-1.27,-1.28,8.18,0.01
31,Entry short,2025-03-10 15:00,Short Entry,2018.11,0.0495,99.896445,5.6,5.60,13.1,13.10,-1.27,-1.28,8.18,0.01
32,Exit short,2025-03-12 06:00,Max Hold,1877.48,0.0527,99.82434,0.78,0.78,2.84,2.84,-4.03,-4.04,8.96,0.01
32,Entry short,2025-03-11 13:00,Short Entry,1894.2,0.0527,99.82434,0.78,0.78,2.84,2.84,-4.03,-4.04,8.96,0.01
33,Exit long,2025-03-20 12:00,Max Hold,1988.39,0.0489,99.990231,-2.86,-2.86,1.17,1.17,-3.69,-3.69,6.1,0.01
33,Entry long,2025-03-19 19:00,Long Entry,2044.79,0.0489,99.990231,-2.86,-2.86,1.17,1.17,-3.69,-3.69,6.1,0.01
34,Exit short,2025-03-29 10:00,Max Hold,1876.3,0.0535,99.98294,-0.5,-0.50,0.58,0.58,-2.41,-2.41,5.6,0.01
34,Entry short,2025-03-28 17:00,Short Entry,1868.84,0.0535,99.98294,-0.5,-0.50,0.58,0.58,-2.41,-2.41,5.6,0.01
35,Exit short,2025-03-30 04:00,Max Hold,1833.31,0.0535,99.9273,1.75,1.75,3.78,3.79,-0.38,-0.38,7.35,0.01
35,Entry short,2025-03-29 11:00,Short Entry,1867.8,0.0535,99.9273,1.75,1.75,3.78,3.79,-0.38,-0.38,7.35,0.01
36,Exit short,2025-04-04 06:00,Max Hold,1805.09,0.0568,99.886776,-2.74,-2.75,0.44,0.44,-3.69,-3.69,4.61,0.00
36,Entry short,2025-04-03 13:00,Short Entry,1758.57,0.0568,99.886776,-2.74,-2.75,0.44,0.44,-3.69,-3.69,4.61,0.00
37,Exit short,2025-04-07 12:00,Max Hold,1482.34,0.0618,99.96768,8.26,8.26,12.78,12.78,-1.16,-1.16,12.87,0.01
37,Entry short,2025-04-06 19:00,Short Entry,1617.6,0.0618,99.96768,8.26,8.26,12.78,12.78,-1.16,-1.16,12.87,0.01
38,Exit long,2025-04-13 09:00,Max Hold,1619.7,0.0604,99.967436,-2.24,-2.24,0.34,0.34,-3.61,-3.61,10.63,0.01
38,Entry long,2025-04-12 16:00,Long Entry,1655.09,0.0604,99.967436,-2.24,-2.24,0.34,0.34,-3.61,-3.61,10.63,0.01
39,Exit long,2025-04-23 20:00,Max Hold,1785.44,0.0558,99.955098,-0.43,-0.43,2.56,2.56,-1.74,-1.74,10.21,0.01
39,Entry long,2025-04-23 03:00,Long Entry,1791.31,0.0558,99.955098,-0.43,-0.43,2.56,2.56,-1.74,-1.74,10.21,0.01
40,Exit long,2025-05-08 21:00,Max Hold,2184.46,0.0526,99.966826,14.83,14.83,15.66,15.65,-0.53,-0.53,25.03,0.03
40,Entry long,2025-05-08 04:00,Long Entry,1900.51,0.0526,99.966826,14.83,14.83,15.66,15.65,-0.53,-0.53,25.03,0.03
41,Exit long,2025-05-12 10:00,Max Hold,2549.73,0.0404,99.789616,3.12,3.12,6.2,6.21,-0.23,-0.23,28.15,0.03
41,Entry long,2025-05-11 17:00,Long Entry,2470.04,0.0404,99.789616,3.12,3.12,6.2,6.21,-0.23,-0.23,28.15,0.03
42,Exit long,2025-05-14 12:00,Max Hold,2624.16,0.0374,99.813868,-1.77,-1.77,2.56,2.56,-3.56,-3.56,26.38,0.03
42,Entry long,2025-05-13 19:00,Long Entry,2668.82,0.0374,99.813868,-1.77,-1.77,2.56,2.56,-3.56,-3.56,26.38,0.03
43,Exit long,2025-05-15 11:00,Max Hold,2542.36,0.0386,99.936172,-1.9,-1.90,2.15,2.15,-2.95,-2.95,24.48,0.02
43,Entry long,2025-05-14 18:00,Long Entry,2589.02,0.0386,99.936172,-1.9,-1.90,2.15,2.15,-2.95,-2.95,24.48,0.02
44,Exit short,2025-05-16 07:00,Max Hold,2596.46,0.0395,99.95396,-2.71,-2.71,2.12,2.12,-2.94,-2.93,21.78,0.02
44,Entry short,2025-05-15 14:00,Short Entry,2530.48,0.0395,99.95396,-2.71,-2.71,2.12,2.12,-2.94,-2.93,21.78,0.02
45,Exit short,2025-05-18 20:00,Max Hold,2406.78,0.0403,99.947627,2.86,2.86,3.1,3.10,-4.38,-4.38,24.63,0.02
45,Entry short,2025-05-18 03:00,Short Entry,2480.09,0.0403,99.947627,2.86,2.86,3.1,3.10,-4.38,-4.38,24.63,0.02
46,Exit long,2025-05-21 14:00,Max Hold,2545.42,0.0397,99.749823,1.2,1.21,4.03,4.04,-1.08,-1.08,25.83,0.03
46,Entry long,2025-05-20 21:00,Long Entry,2512.59,0.0397,99.749823,1.2,1.21,4.03,4.04,-1.08,-1.08,25.83,0.03
47,Exit long,2025-05-22 22:00,Max Hold,2635.16,0.038,99.84006,0.2,0.20,2.43,2.43,-1.03,-1.03,26.03,0.03
47,Entry long,2025-05-22 05:00,Long Entry,2627.37,0.038,99.84006,0.2,0.20,2.43,2.43,-1.03,-1.03,26.03,0.03
48,Exit long,2025-05-23 19:00,Max Hold,2558.71,0.0373,99.77004,-4.43,-4.44,2.17,2.17,-6.68,-6.69,21.6,0.02
48,Entry long,2025-05-23 02:00,Long Entry,2674.8,0.0373,99.77004,-4.43,-4.44,2.17,2.17,-6.68,-6.69,21.6,0.02
49,Exit short,2025-05-24 18:00,Max Hold,2556.53,0.0397,99.845103,-1.75,-1.75,0,0.00,-2.41,-2.42,19.85,0.02
49,Entry short,2025-05-24 01:00,Short Entry,2514.99,0.0397,99.845103,-1.75,-1.75,0,0.00,-2.41,-2.42,19.85,0.02
50,Exit short,2025-05-25 12:00,Max Hold,2496.58,0.0392,99.890224,1.93,1.93,3.5,3.50,-0.33,-0.33,21.78,0.02
50,Entry short,2025-05-24 19:00,Short Entry,2548.22,0.0392,99.890224,1.93,1.93,3.5,3.50,-0.33,-0.33,21.78,0.02
51,Exit long,2025-05-28 07:00,Max Hold,2626.57,0.0376,99.821984,-1.16,-1.16,2.09,2.09,-1.47,-1.47,20.62,0.02
51,Entry long,2025-05-27 14:00,Long Entry,2654.84,0.0376,99.821984,-1.16,-1.16,2.09,2.09,-1.47,-1.47,20.62,0.02
52,Exit long,2025-05-29 20:00,Max Hold,2649.35,0.036,99.7272,-4.45,-4.46,0.06,0.06,-5.45,-5.46,16.17,0.02
52,Entry long,2025-05-29 03:00,Long Entry,2770.2,0.036,99.7272,-4.45,-4.46,0.06,0.06,-5.45,-5.46,16.17,0.02
53,Exit short,2025-05-31 10:00,Max Hold,2522.3,0.0393,99.794097,0.57,0.57,2.52,2.52,-2.02,-2.02,16.74,0.02
53,Entry short,2025-05-30 17:00,Short Entry,2539.29,0.0393,99.794097,0.57,0.57,2.52,2.52,-2.02,-2.02,16.74,0.02
54,Exit long,2025-06-03 19:00,Max Hold,2617.19,0.0378,99.978732,-1.15,-1.15,0.33,0.33,-2.2,-2.20,15.59,0.02
54,Entry long,2025-06-03 02:00,Long Entry,2644.94,0.0378,99.978732,-1.15,-1.15,0.33,0.33,-2.2,-2.20,15.59,0.02
55,Exit long,2025-06-04 19:00,Max Hold,2628.01,0.0382,99.750896,0.54,0.54,2.56,2.57,-0.74,-0.74,16.13,0.02
55,Entry long,2025-06-04 02:00,Long Entry,2611.28,0.0382,99.750896,0.54,0.54,2.56,2.57,-0.74,-0.74,16.13,0.02
56,Exit short,2025-06-06 14:00,Max Hold,2502.13,0.0417,99.977001,-4.46,-4.46,0.7,0.70,-5.11,-5.11,11.66,0.01
56,Entry short,2025-06-05 21:00,Short Entry,2397.53,0.0417,99.977001,-4.46,-4.46,0.7,0.70,-5.11,-5.11,11.66,0.01
57,Exit short,2025-06-07 13:00,Max Hold,2496.87,0.0402,99.818208,-0.66,-0.66,1.04,1.04,-0.99,-0.99,11.01,0.01
57,Entry short,2025-06-06 20:00,Short Entry,2483.04,0.0402,99.818208,-0.66,-0.66,1.04,1.04,-0.99,-0.99,11.01,0.01
58,Exit long,2025-06-10 15:00,Max Hold,2735.14,0.0378,99.889524,3.4,3.40,5.85,5.86,-0.12,-0.12,14.4,0.01
58,Entry long,2025-06-09 22:00,Long Entry,2642.58,0.0378,99.889524,3.4,3.40,5.85,5.86,-0.12,-0.12,14.4,0.01
59,Exit short,2025-06-13 14:00,Max Hold,2541.81,0.0379,99.975273,3.54,3.54,7.68,7.68,-0.84,-0.84,17.95,0.02
59,Entry short,2025-06-12 21:00,Short Entry,2637.87,0.0379,99.975273,3.54,3.54,7.68,7.68,-0.84,-0.84,17.95,0.02
60,Exit long,2025-06-17 02:00,Max Hold,2580,0.038,99.92252,-1.98,-1.98,1.87,1.87,-4.06,-4.06,15.96,0.02
60,Entry long,2025-06-16 09:00,Long Entry,2629.54,0.038,99.92252,-1.98,-1.98,1.87,1.87,-4.06,-4.06,15.96,0.02
61,Exit short,2025-06-19 04:00,Max Hold,2524.35,0.04,99.756,-1.32,-1.32,1.11,1.11,-2.15,-2.15,14.65,0.01
61,Entry short,2025-06-18 11:00,Short Entry,2493.9,0.04,99.756,-1.32,-1.32,1.11,1.11,-2.15,-2.15,14.65,0.01
62,Exit short,2025-06-22 15:00,Max Hold,2200.39,0.0438,99.87933,3.4,3.41,5.44,5.44,-1.59,-1.59,18.05,0.02
62,Entry short,2025-06-21 22:00,Short Entry,2280.35,0.0438,99.87933,3.4,3.41,5.44,5.44,-1.59,-1.59,18.05,0.02
63,Exit long,2025-06-24 17:00,Max Hold,2477.87,0.0414,99.79056,2.69,2.70,2.88,2.89,-1.52,-1.52,20.74,0.02
63,Entry long,2025-06-24 00:00,Long Entry,2410.4,0.0414,99.79056,2.69,2.70,2.88,2.89,-1.52,-1.52,20.74,0.02
64,Exit long,2025-07-03 15:00,Max Hold,2593.96,0.0385,99.93984,-0.17,-0.17,1.46,1.46,-1.61,-1.61,20.57,0.02
64,Entry long,2025-07-02 22:00,Long Entry,2595.84,0.0385,99.93984,-0.17,-0.17,1.46,1.46,-1.61,-1.61,20.57,0.02
65,Exit long,2025-07-04 21:00,Max Hold,2489.31,0.0388,99.974796,-3.49,-3.49,0.23,0.23,-4.07,-4.07,17.08,0.02
65,Entry long,2025-07-04 04:00,Long Entry,2576.67,0.0388,99.974796,-3.49,-3.49,0.23,0.23,-4.07,-4.07,17.08,0.02
66,Exit long,2025-07-10 11:00,Max Hold,2783.52,0.0375,99.772125,4.51,4.52,6.01,6.02,-0.07,-0.07,21.59,0.02
66,Entry long,2025-07-09 18:00,Long Entry,2660.59,0.0375,99.772125,4.51,4.52,6.01,6.02,-0.07,-0.07,21.59,0.02
67,Exit long,2025-07-15 06:00,Max Hold,2973.44,0.0327,99.753966,-2.62,-2.63,0.51,0.51,-3.96,-3.97,18.97,0.02
67,Entry long,2025-07-14 13:00,Long Entry,3050.58,0.0327,99.753966,-2.62,-2.63,0.51,0.51,-3.96,-3.97,18.97,0.02
68,Exit long,2025-07-17 00:00,Max Hold,3370.54,0.0316,99.982084,6.42,6.42,8.15,8.15,-0.71,-0.71,25.39,0.03
68,Entry long,2025-07-16 07:00,Long Entry,3163.99,0.0316,99.982084,6.42,6.42,8.15,8.15,-0.71,-0.71,25.39,0.03
