Trade #,Type,Date and time,Signal,Price USDT,Position size (qty),Position size (value),Net P&L USDT,Net P&L %,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative P&L USDT,Cumulative P&L %
1,Exit short,2025-01-23 18:00,Max Hold,3195.93,0.0317,99.84549,-1.57,-1.57,0.22,0.22,-9.75,-9.76,-1.57,0.00
1,Entry short,2025-01-19 20:00,Short Entry,3149.7,0.0317,99.84549,-1.57,-1.57,0.22,0.22,-9.75,-9.76,-1.57,0.00
2,Exit long,2025-01-27 12:00,Flip,3182.11,0.0292,99.6596,-6.84,-6.86,0.45,0.45,-7.47,-7.49,-8.4,-0.01
2,Entry long,2025-01-24 19:00,Long Entry,3413,0.0292,99.6596,-6.84,-6.86,0.45,0.45,-7.47,-7.49,-8.4,-0.01
3,Exit short,2025-01-28 17:00,Max Hold,3197.3,0.0314,99.918254,-0.58,-0.58,5.03,5.04,-1.8,-1.81,-8.98,-0.01
3,Entry short,2025-01-27 12:00,Flip to Short,3182.11,0.0314,99.918254,-0.58,-0.58,5.03,5.04,-1.8,-1.81,-8.98,-0.01
4,Exit long,2025-02-02 12:00,Flip,3076.48,0.0305,99.962835,-6.23,-6.23,4.8,4.80,-6.47,-6.47,-15.21,-0.02
4,Entry long,2025-01-31 01:00,Long Entry,3277.47,0.0305,99.962835,-6.23,-6.23,4.8,4.80,-6.47,-6.47,-15.21,-0.02
5,Exit short,2025-02-03 23:00,Max Hold,2618.31,0.0325,99.9856,14.8,14.79,32.33,32.32,-2.06,-2.06,-0.41,0.00
5,Entry short,2025-02-02 12:00,Flip to Short,3076.48,0.0325,99.9856,14.8,14.79,32.33,32.32,-2.06,-2.06,-0.41,0.00
6,Exit short,2025-02-10 19:00,Flip,2646.09,0.0381,99.847146,-1.07,-1.07,3.86,3.86,-3,-3.00,-1.48,0.00
6,Entry short,2025-02-08 08:00,Short Entry,2620.66,0.0381,99.847146,-1.07,-1.07,3.86,3.86,-3,-3.00,-1.48,0.00
7,Exit long,2025-02-12 06:00,Max Hold,2621.16,0.0377,99.757593,-1.04,-1.04,2.91,2.91,-2.51,-2.52,-2.52,0.00
7,Entry long,2025-02-10 19:00,Flip to Long,2646.09,0.0377,99.757593,-1.04,-1.04,2.91,2.91,-2.51,-2.52,-2.52,0.00
8,Exit long,2025-02-21 15:00,Max Hold,2759.68,0.0368,99.871888,1.58,1.58,4.91,4.92,-4.09,-4.09,-0.94,0.00
8,Entry long,2025-02-17 17:00,Long Entry,2713.91,0.0368,99.871888,1.58,1.58,4.91,4.92,-4.09,-4.09,-0.94,0.00
9,Exit long,2025-02-25 01:00,Flip,2660.33,0.0361,99.997361,-4.06,-4.06,3.23,3.23,-4.98,-4.98,-4.99,0.00
9,Entry long,2025-02-23 09:00,Long Entry,2770.01,0.0361,99.997361,-4.06,-4.06,3.23,3.23,-4.98,-4.98,-4.99,0.00
10,Exit short,2025-02-27 07:00,Max Hold,2347.9,0.0375,99.762375,11.62,11.64,15.23,15.26,-0.85,-0.85,6.63,0.01
10,Entry short,2025-02-25 01:00,Flip to Short,2660.33,0.0375,99.762375,11.62,11.64,15.23,15.26,-0.85,-0.85,6.63,0.01
11,Exit long,2025-03-04 03:00,SL,2192.34,0.0403,99.937149,-11.68,-11.68,2.78,2.78,-12.29,-12.30,-5.05,-0.01
