Trade #,Type,Date and time,Signal,Price USDT,Position size (qty),Position size (value),Net P&L USDT,Net P&L %,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative P&L USDT,Cumulative P&L %
1,Exit short,2023-01-02 22:00,Mid Exit,1214.33,0.0821,99.884502,0.19,0.19,0.54,0.54,-0.69,-0.69,0.19,0.00
1,Entry short,2023-01-02 17:00,Short Entry,1216.62,0.0821,99.884502,0.19,0.19,0.54,0.54,-0.69,-0.69,0.19,0.00
2,Exit short,2023-01-05 01:00,Mid Exit,1253.69,0.0797,99.878446,-0.04,-0.04,1.16,1.16,-1.74,-1.74,0.15,0.00
2,Entry short,2023-01-04 13:00,Short Entry,1253.18,0.0797,99.878446,-0.04,-0.04,1.16,1.16,-1.74,-1.74,0.15,0.00
3,Exit short,2023-01-07 04:00,Mid Exit,1264.17,0.0788,99.917612,0.3,0.30,0.39,0.39,-0.04,-0.04,0.45,0.00
3,Entry short,2023-01-07 01:00,Short Entry,1267.99,0.0788,99.917612,0.3,0.30,0.39,0.39,-0.04,-0.04,0.45,0.00
4,Exit short,2023-01-09 20:00,Mid Exit,1321.74,0.0757,99.887664,-0.17,-0.17,0.27,0.27,-1.93,-1.93,0.28,0.00
4,Entry short,2023-01-09 13:00,Short Entry,1319.52,0.0757,99.887664,-0.17,-0.17,0.27,0.27,-1.93,-1.93,0.28,0.00
5,Exit long,2023-01-10 06:00,Mid Exit,1325,0.0752,99.868608,-0.23,-0.23,0.06,0.06,-0.42,-0.43,0.05,0.00
5,Entry long,2023-01-10 04:00,Long Entry,1328.04,0.0752,99.868608,-0.23,-0.23,0.06,0.06,-0.42,-0.43,0.05,0.00
6,Exit short,2023-01-12 10:00,Mid Exit,1399.89,0.0714,99.972138,0.02,0.02,0.24,0.24,-0.23,-0.23,0.07,0.00
6,Entry short,2023-01-12 09:00,Short Entry,1400.17,0.0714,99.972138,0.02,0.02,0.24,0.24,-0.23,-0.23,0.07,0.00
7,Exit long,2023-01-12 12:00,Mid Exit,1399.88,0.0715,99.97845,0.11,0.11,0.18,0.18,-0.58,-0.58,0.18,0.00
7,Entry long,2023-01-12 11:00,Long Entry,1398.3,0.0715,99.97845,0.11,0.11,0.18,0.18,-0.58,-0.58,0.18,0.00
8,Exit long,2023-01-12 17:00,Mid Exit,1428.74,0.0721,99.906086,3.11,3.11,3.6,3.60,-0.2,-0.20,3.28,0.00
8,Entry long,2023-01-12 15:00,Long Entry,1385.66,0.0721,99.906086,3.11,3.11,3.6,3.60,-0.2,-0.20,3.28,0.00
9,Exit short,2023-01-13 03:00,Mid Exit,1414.72,0.0706,99.958304,0.08,0.08,1.07,1.07,-0.18,-0.18,3.36,0.00
9,Entry short,2023-01-12 23:00,Short Entry,1415.84,0.0706,99.958304,0.08,0.08,1.07,1.07,-0.18,-0.18,3.36,0.00
10,Exit long,2023-01-13 10:00,Mid Exit,1416.21,0.0709,99.88392,0.52,0.52,0.78,0.78,-0.37,-0.37,3.89,0.00
10,Entry long,2023-01-13 08:00,Long Entry,1408.8,0.0709,99.88392,0.52,0.52,0.78,0.78,-0.37,-0.37,3.89,0.00
11,Exit short,2023-01-14 10:00,Mid Exit,1523.77,0.0708,99.919332,-7.96,-7.97,0.09,0.09,-16.54,-16.55,-4.08,0.00
11,Entry short,2023-01-13 16:00,Short Entry,1411.29,0.0708,99.919332,-7.96,-7.97,0.09,0.09,-16.54,-16.55,-4.08,0.00
12,Exit long,2023-01-15 10:00,Mid Exit,1533.07,0.0653,99.918795,0.19,0.19,2.21,2.21,-0.92,-0.92,-3.89,0.00
12,Entry long,2023-01-14 19:00,Long Entry,1530.15,0.0653,99.918795,0.19,0.19,2.21,2.21,-0.92,-0.92,-3.89,0.00
13,Exit short,2023-01-16 08:00,Mid Exit,1538.58,0.0637,99.944663,1.94,1.94,3.12,3.12,-1.12,-1.12,-1.95,0.00
13,Entry short,2023-01-16 01:00,Short Entry,1568.99,0.0637,99.944663,1.94,1.94,3.12,3.12,-1.12,-1.12,-1.95,0.00
14,Exit long,2023-01-16 18:00,Mid Exit,1573.39,0.0647,99.967323,1.83,1.83,2.06,2.06,-1.58,-1.58,-0.12,0.00
14,Entry long,2023-01-16 09:00,Long Entry,1545.09,0.0647,99.967323,1.83,1.83,2.06,2.06,-1.58,-1.58,-0.12,0.00
15,Exit short,2023-01-17 04:00,Mid Exit,1568.18,0.0642,99.922164,-0.76,-0.76,0.22,0.22,-1.41,-1.41,-0.88,0.00
15,Entry short,2023-01-17 01:00,Short Entry,1556.42,0.0642,99.922164,-0.76,-0.76,0.22,0.22,-1.41,-1.41,-0.88,0.00
16,Exit long,2023-01-17 11:00,Mid Exit,1569.19,0.0637,99.95804,-0.002,0.00,0.2,0.20,-0.71,-0.71,-0.88,0.00
16,Entry long,2023-01-17 08:00,Long Entry,1569.2,0.0637,99.95804,-0.002,0.00,0.2,0.20,-0.71,-0.71,-0.88,0.00
17,Exit short,2023-01-17 23:00,Mid Exit,1565.84,0.0632,99.913512,0.95,0.95,1.1,1.10,-0.08,-0.08,0.07,0.00
17,Entry short,2023-01-17 21:00,Short Entry,1580.91,0.0632,99.913512,0.95,0.95,1.1,1.10,-0.08,-0.08,0.07,0.00
18,Exit long,2023-01-19 06:00,Mid Exit,1530.76,0.0655,99.89405,0.37,0.37,0.52,0.52,-0.1,-0.10,0.44,0.00
18,Entry long,2023-01-19 02:00,Long Entry,1525.1,0.0655,99.89405,0.37,0.37,0.52,0.52,-0.1,-0.10,0.44,0.00
19,Exit short,2023-01-19 12:00,Mid Exit,1519.58,0.0655,99.92811,0.39,0.39,0.84,0.84,-0.01,-0.01,0.83,0.00
19,Entry short,2023-01-19 10:00,Short Entry,1525.62,0.0655,99.92811,0.39,0.39,0.84,0.84,-0.01,-0.01,0.83,0.00
20,Exit short,2023-01-20 05:00,Mid Exit,1547.07,0.0645,99.850515,0.06,0.06,0.35,0.35,-1.03,-1.03,0.9,0.00
20,Entry short,2023-01-20 00:00,Short Entry,1548.07,0.0645,99.850515,0.06,0.06,0.35,0.35,-1.03,-1.03,0.9,0.00
21,Exit short,2023-01-21 08:00,Mid Exit,1647.76,0.0604,99.908848,0.38,0.38,0.46,0.46,-0.07,-0.07,1.28,0.00
21,Entry short,2023-01-21 06:00,Short Entry,1654.12,0.0604,99.908848,0.38,0.38,0.46,0.46,-0.07,-0.07,1.28,0.00
22,Exit long,2023-01-22 08:00,Mid Exit,1632.06,0.0612,99.94878,-0.07,-0.07,0.06,0.06,-1.82,-1.82,1.21,0.00
22,Entry long,2023-01-22 00:00,Long Entry,1633.15,0.0612,99.94878,-0.07,-0.07,0.06,0.06,-1.82,-1.82,1.21,0.00
23,Exit short,2023-01-22 20:00,Mid Exit,1615.28,0.0612,99.921852,1.07,1.07,1.52,1.52,-2.04,-2.04,2.28,0.00
23,Entry short,2023-01-22 13:00,Short Entry,1632.71,0.0612,99.921852,1.07,1.07,1.52,1.52,-2.04,-2.04,2.28,0.00
24,Exit long,2023-01-23 06:00,Mid Exit,1637.75,0.061,99.87347,0.03,0.03,0.08,0.08,-0.34,-0.34,2.31,0.00
24,Entry long,2023-01-23 04:00,Long Entry,1637.27,0.061,99.87347,0.03,0.03,0.08,0.08,-0.34,-0.34,2.31,0.00
25,Exit short,2023-01-23 12:00,Mid Exit,1635.9,0.0611,99.839844,-0.11,-0.11,0.24,0.24,-0.4,-0.40,2.19,0.00
25,Entry short,2023-01-23 07:00,Short Entry,1634.04,0.0611,99.839844,-0.11,-0.11,0.24,0.24,-0.4,-0.40,2.19,0.00
26,Exit long,2023-01-23 23:00,Mid Exit,1626.9,0.0616,99.848672,0.37,0.37,1.25,1.25,-0.7,-0.70,2.56,0.00
26,Entry long,2023-01-23 15:00,Long Entry,1620.92,0.0616,99.848672,0.37,0.37,1.25,1.25,-0.7,-0.70,2.56,0.00
27,Exit short,2023-01-24 09:00,Mid Exit,1618.03,0.0611,99.947991,1.09,1.09,1.37,1.37,-0.35,-0.35,3.65,0.00
27,Entry short,2023-01-24 02:00,Short Entry,1635.81,0.0611,99.947991,1.09,1.09,1.37,1.37,-0.35,-0.35,3.65,0.00
28,Exit long,2023-01-24 19:00,Mid Exit,1623.03,0.0617,99.961404,0.18,0.18,0.29,0.29,-0.11,-0.11,3.82,0.00
28,Entry long,2023-01-24 18:00,Long Entry,1620.12,0.0617,99.961404,0.18,0.18,0.29,0.29,-0.11,-0.11,3.82,0.00
29,Exit long,2023-01-25 11:00,Mid Exit,1545.14,0.0645,99.996285,-0.34,-0.34,0.07,0.07,-0.87,-0.87,3.49,0.00
29,Entry long,2023-01-25 08:00,Long Entry,1550.33,0.0645,99.996285,-0.34,-0.34,0.07,0.07,-0.87,-0.87,3.49,0.00
30,Exit short,2023-01-25 14:00,Mid Exit,1536.05,0.0643,99.938275,1.17,1.17,1.43,1.43,-0.08,-0.08,4.66,0.00
30,Entry short,2023-01-25 13:00,Short Entry,1554.25,0.0643,99.938275,1.17,1.17,1.43,1.43,-0.08,-0.08,4.66,0.00
31,Exit short,2023-01-26 09:00,Mid Exit,1606.28,0.0623,99.965957,-0.11,-0.11,0.28,0.28,-0.37,-0.37,4.55,0.00
31,Entry short,2023-01-26 07:00,Short Entry,1604.59,0.0623,99.965957,-0.11,-0.11,0.28,0.28,-0.37,-0.37,4.55,0.00
32,Exit long,2023-01-26 12:00,Mid Exit,1615.68,0.0623,99.94789,0.71,0.71,0.79,0.79,-0.12,-0.12,5.26,0.01
32,Entry long,2023-01-26 11:00,Long Entry,1604.3,0.0623,99.94789,0.71,0.71,0.79,0.79,-0.12,-0.12,5.26,0.01
33,Exit long,2023-01-26 20:00,Mid Exit,1608.77,0.0628,99.956876,1.07,1.07,1.26,1.26,-0.17,-0.17,6.33,0.01
33,Entry long,2023-01-26 17:00,Long Entry,1591.67,0.0628,99.956876,1.07,1.07,1.26,1.26,-0.17,-0.17,6.33,0.01
34,Exit long,2023-01-27 11:00,Mid Exit,1578.54,0.0634,99.948198,0.13,0.13,0.13,0.13,-0.23,-0.23,6.46,0.01
34,Entry long,2023-01-27 10:00,Long Entry,1576.47,0.0634,99.948198,0.13,0.13,0.13,0.13,-0.23,-0.23,6.46,0.01
35,Exit short,2023-01-27 15:00,Mid Exit,1574.24,0.0635,99.98964,0.02,0.02,1.23,1.23,-1.29,-1.29,6.49,0.01
35,Entry short,2023-01-27 12:00,Short Entry,1574.64,0.0635,99.98964,0.02,0.02,1.23,1.23,-1.29,-1.29,6.49,0.01
36,Exit short,2023-01-28 03:00,Mid Exit,1598.56,0.0626,99.863902,-0.21,-0.21,0.04,0.04,-0.29,-0.29,6.28,0.01
36,Entry short,2023-01-28 02:00,Short Entry,1595.27,0.0626,99.863902,-0.21,-0.21,0.04,0.04,-0.29,-0.29,6.28,0.01
37,Exit long,2023-01-29 00:00,Mid Exit,1584.31,0.063,99.9054,-0.09,-0.09,0.12,0.12,-1.94,-1.94,6.18,0.01
37,Entry long,2023-01-28 11:00,Long Entry,1585.8,0.063,99.9054,-0.09,-0.09,0.12,0.12,-1.94,-1.94,6.18,0.01
38,Exit short,2023-01-30 05:00,Mid Exit,1637.17,0.0628,99.98074,-2.83,-2.84,0.26,0.26,-4.5,-4.50,3.35,0.00
38,Entry short,2023-01-29 02:00,Short Entry,1592.05,0.0628,99.98074,-2.83,-2.84,0.26,0.26,-4.5,-4.50,3.35,0.00
39,Exit long,2023-01-31 05:00,Mid Exit,1562.12,0.0613,99.945972,-4.19,-4.19,0.18,0.18,-6.22,-6.22,-0.84,0.00
39,Entry long,2023-01-30 06:00,Long Entry,1630.44,0.0613,99.945972,-4.19,-4.19,0.18,0.18,-6.22,-6.22,-0.84,0.00
40,Exit short,2023-01-31 10:00,Mid Exit,1567.06,0.0636,99.953124,0.29,0.29,0.41,0.41,-0.24,-0.24,-0.55,0.00
40,Entry short,2023-01-31 08:00,Short Entry,1571.59,0.0636,99.953124,0.29,0.29,0.41,0.41,-0.24,-0.24,-0.55,0.00
41,Exit short,2023-01-31 23:00,Mid Exit,1585.02,0.0631,99.85575,-0.16,-0.16,1.18,1.18,-1.46,-1.46,-0.71,0.00
41,Entry short,2023-01-31 14:00,Short Entry,1582.5,0.0631,99.85575,-0.16,-0.16,1.18,1.18,-1.46,-1.46,-0.71,0.00
42,Exit long,2023-02-01 14:00,Mid Exit,1584.7,0.0635,99.897565,0.73,0.73,1.09,1.09,-0.17,-0.17,0.02,0.00
42,Entry long,2023-02-01 09:00,Long Entry,1573.19,0.0635,99.897565,0.73,0.73,1.09,1.09,-0.17,-0.17,0.02,0.00
43,Exit short,2023-02-02 14:00,Mid Exit,1656.54,0.0598,99.849256,0.79,0.79,1.21,1.21,-1.45,-1.45,0.81,0.00
43,Entry short,2023-02-02 10:00,Short Entry,1669.72,0.0598,99.849256,0.79,0.79,1.21,1.21,-1.45,-1.45,0.81,0.00
44,Exit short,2023-02-02 21:00,Mid Exit,1637.23,0.0596,99.842516,2.26,2.27,2.46,2.47,-0.72,-0.72,3.07,0.00
44,Entry short,2023-02-02 19:00,Short Entry,1675.21,0.0596,99.842516,2.26,2.27,2.46,2.47,-0.72,-0.72,3.07,0.00
45,Exit long,2023-02-03 07:00,Mid Exit,1638.12,0.0607,99.980791,-0.55,-0.55,0.23,0.23,-0.98,-0.98,2.52,0.00
45,Entry long,2023-02-03 00:00,Long Entry,1647.13,0.0607,99.980791,-0.55,-0.55,0.23,0.23,-0.98,-0.98,2.52,0.00
46,Exit short,2023-02-04 01:00,Mid Exit,1657.01,0.0603,99.9171,-0.002,0.00,0.9,0.90,-1.06,-1.06,2.52,0.00
46,Entry short,2023-02-03 16:00,Short Entry,1657,0.0603,99.9171,-0.002,0.00,0.9,0.90,-1.06,-1.06,2.52,0.00
47,Exit short,2023-02-04 23:00,Mid Exit,1666.44,0.0595,99.989155,0.83,0.84,1.43,1.43,-0.19,-0.19,3.35,0.00
47,Entry short,2023-02-04 22:00,Short Entry,1680.49,0.0595,99.989155,0.83,0.84,1.43,1.43,-0.19,-0.19,3.35,0.00
48,Exit long,2023-02-05 10:00,Mid Exit,1669.12,0.06,99.9414,0.2,0.20,0.53,0.53,-0.54,-0.54,3.56,0.00
48,Entry long,2023-02-05 01:00,Long Entry,1665.69,0.06,99.9414,0.2,0.20,0.53,0.53,-0.54,-0.54,3.56,0.00
49,Exit long,2023-02-06 03:00,Mid Exit,1626.55,0.0611,99.8374,-0.46,-0.46,0.52,0.52,-1.03,-1.03,3.1,0.00
