Trade #,Type,Date and time,Signal,Price USDT,Position size (qty),Position size (value),Net P&L USDT,Net P&L %,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative P&L USDT,Cumulative P&L %
1,Exit long,2023-01-03 00:00,Max Hold,1213.24,0.0824,99.937192,0.03,0.03,1,1.00,-0.23,-0.23,0.03,0.00
1,Entry long,2023-01-02 08:00,Long Entry,1212.83,0.0824,99.937192,0.03,0.03,1,1.00,-0.23,-0.23,0.03,0.00
2,Exit long,2023-01-04 19:00,Max Hold,1261.54,0.0812,99.962072,2.47,2.47,3.57,3.57,-0.0005,0.00,2.51,0.00
2,Entry long,2023-01-04 03:00,Long Entry,1231.06,0.0812,99.962072,2.47,2.47,3.57,3.57,-0.0005,0.00,2.51,0.00
3,Exit long,2023-01-05 16:00,Max Hold,1248.72,0.0795,99.883005,-0.61,-0.61,0.29,0.29,-1.13,-1.13,1.9,0.00
3,Entry long,2023-01-05 00:00,Long Entry,1256.39,0.0795,99.883005,-0.61,-0.61,0.29,0.29,-1.13,-1.13,1.9,0.00
4,Exit long,2023-01-07 12:00,Max Hold,1263.11,0.0785,99.912445,-0.76,-0.76,0.25,0.25,-0.92,-0.92,1.14,0.00
4,Entry long,2023-01-06 20:00,Long Entry,1272.77,0.0785,99.912445,-0.76,-0.76,0.25,0.25,-0.92,-0.92,1.14,0.00
5,Exit long,2023-01-09 16:00,Max Hold,1335.55,0.0775,99.9471,3.56,3.56,4.08,4.08,-0.37,-0.38,4.69,0.00
5,Entry long,2023-01-09 00:00,Long Entry,1289.64,0.0775,99.9471,3.56,3.56,4.08,4.08,-0.37,-0.38,4.69,0.00
6,Exit long,2023-01-10 17:00,Max Hold,1329.98,0.0753,99.976563,0.17,0.17,1.04,1.04,-0.83,-0.83,4.86,0.00
6,Entry long,2023-01-10 01:00,Long Entry,1327.71,0.0753,99.976563,0.17,0.17,1.04,1.04,-0.83,-0.83,4.86,0.00
7,Exit long,2023-01-12 16:00,Max Hold,1385.65,0.0719,99.887075,-0.26,-0.26,2.19,2.19,-2.25,-2.25,4.6,0.00
7,Entry long,2023-01-12 00:00,Long Entry,1389.25,0.0719,99.887075,-0.26,-0.26,2.19,2.19,-2.25,-2.25,4.6,0.00
8,Exit long,2023-01-13 10:00,Max Hold,1409.84,0.0699,99.868926,-1.32,-1.32,0.74,0.74,-1.96,-1.96,3.28,0.00
8,Entry long,2023-01-12 18:00,Long Entry,1428.74,0.0699,99.868926,-1.32,-1.32,0.74,0.74,-1.96,-1.96,3.28,0.00
9,Exit long,2023-01-14 14:00,Max Hold,1535.57,0.0687,99.97224,5.52,5.52,13.03,13.04,-0.94,-0.94,8.8,0.01
9,Entry long,2023-01-13 22:00,Long Entry,1455.2,0.0687,99.97224,5.52,5.52,13.03,13.04,-0.94,-0.94,8.8,0.01
10,Exit long,2023-01-15 15:00,Max Hold,1540.9,0.0644,99.957172,-0.72,-0.72,0.18,0.18,-2.33,-2.33,8.08,0.01
10,Entry long,2023-01-14 23:00,Long Entry,1552.13,0.0644,99.957172,-0.72,-0.72,0.18,0.18,-2.33,-2.33,8.08,0.01
11,Exit long,2023-01-21 13:00,Max Hold,1659.17,0.0609,99.982575,1.06,1.06,2.48,2.48,-1.61,-1.61,9.14,0.01
11,Entry long,2023-01-20 21:00,Long Entry,1641.75,0.0609,99.982575,1.06,1.06,2.48,2.48,-1.61,-1.61,9.14,0.01
12,Exit short,2023-01-25 17:00,Max Hold,1548.31,0.0645,99.87825,0.01,0.01,2.33,2.34,-1.15,-1.15,9.15,0.01
12,Entry short,2023-01-25 01:00,Short Entry,1548.5,0.0645,99.87825,0.01,0.01,2.33,2.34,-1.15,-1.15,9.15,0.01
13,Exit long,2023-01-30 12:00,Max Hold,1581.82,0.0604,99.958376,-4.42,-4.42,0.11,0.11,-4.73,-4.73,4.73,0.00
13,Entry long,2023-01-29 20:00,Long Entry,1654.94,0.0604,99.958376,-4.42,-4.42,0.11,0.11,-4.73,-4.73,4.73,0.00
14,Exit long,2023-02-02 17:00,Max Hold,1672.26,0.059,99.84275,-1.18,-1.18,0.1,0.10,-2.52,-2.53,3.55,0.00
14,Entry long,2023-02-02 01:00,Long Entry,1692.25,0.059,99.84275,-1.18,-1.18,0.1,0.10,-2.52,-2.53,3.55,0.00
15,Exit long,2023-02-03 11:00,Max Hold,1644.89,0.0587,99.894486,-3.34,-3.34,0.12,0.12,-4.51,-4.51,0.21,0.00
15,Entry long,2023-02-02 19:00,Long Entry,1701.78,0.0587,99.894486,-3.34,-3.34,0.12,0.12,-4.51,-4.51,0.21,0.00
16,Exit short,2023-02-10 12:00,Max Hold,1536.59,0.0633,99.955764,2.69,2.69,3.61,3.61,-0.18,-0.18,2.9,0.00
16,Entry short,2023-02-09 20:00,Short Entry,1579.08,0.0633,99.955764,2.69,2.69,3.61,3.61,-0.18,-0.18,2.9,0.00
17,Exit short,2023-02-11 08:00,Max Hold,1519.86,0.0657,99.966492,0.11,0.11,2.32,2.32,-1.16,-1.16,3.01,0.00
17,Entry short,2023-02-10 16:00,Short Entry,1521.56,0.0657,99.966492,0.11,0.11,2.32,2.32,-1.16,-1.16,3.01,0.00
