Trade #,Type,Date and time,Signal,Price USDT,Position size (qty),Position size (value),Net P&L USDT,Net P&L %,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative P&L USDT,Cumulative P&L %
1,Exit short,2023-01-08 06:00,Max Hold,1263.41,0.0789,99.8874,0.2,0.20,0.76,0.77,-0.15,-0.15,0.2,0.00
1,Entry short,2023-01-07 08:00,Short Entry,1266,0.0789,99.8874,0.2,0.20,0.76,0.77,-0.15,-0.15,0.2,0.00
2,Exit long,2023-01-09 14:00,Max Hold,1319.52,0.0784,99.882384,3.57,3.57,4.23,4.24,-1.03,-1.03,3.77,0.00
2,Entry long,2023-01-08 16:00,Long Entry,1274.01,0.0784,99.882384,3.57,3.57,4.23,4.24,-1.03,-1.03,3.77,0.00
3,Exit short,2023-01-10 20:00,Max Hold,1339.11,0.0758,99.971104,-1.53,-1.53,0.29,0.29,-1.92,-1.92,2.24,0.00
3,Entry short,2023-01-09 22:00,Short Entry,1318.88,0.0758,99.971104,-1.53,-1.53,0.29,0.29,-1.92,-1.92,2.24,0.00
4,Exit long,2023-01-12 15:00,Flip,1381.13,0.0741,99.93867,2.4,2.40,5.26,5.27,-0.0005,0.00,4.64,0.00
4,Entry long,2023-01-11 23:00,Long Entry,1348.7,0.0741,99.93867,2.4,2.40,5.26,5.27,-0.0005,0.00,4.64,0.00
5,Exit short,2023-01-12 19:00,Flip,1420.91,0.0724,99.993812,-2.88,-2.88,0.1,0.10,-3.94,-3.94,1.76,0.00
5,Entry short,2023-01-12 15:00,Flip to Short,1381.13,0.0724,99.993812,-2.88,-2.88,0.1,0.10,-3.94,-3.94,1.76,0.00
6,Exit long,2023-01-12 21:00,Max Hold,1433.44,0.0703,99.889973,0.88,0.88,1.17,1.17,-0.35,-0.35,2.64,0.00
6,Entry long,2023-01-12 19:00,Flip to Long,1420.91,0.0703,99.889973,0.88,0.88,1.17,1.17,-0.35,-0.35,2.64,0.00
7,Exit short,2023-01-13 22:00,Flip,1455.2,0.0711,99.990063,-3.48,-3.48,0.4,0.40,-4.06,-4.06,-0.84,0.00
7,Entry short,2023-01-13 01:00,Short Entry,1406.33,0.0711,99.990063,-3.48,-3.48,0.4,0.40,-4.06,-4.06,-0.84,0.00
8,Exit long,2023-01-13 23:00,Max Hold,1453.12,0.0687,99.97224,-0.14,-0.14,0.71,0.71,-0.53,-0.53,-0.98,0.00
8,Entry long,2023-01-13 22:00,Flip to Long,1455.2,0.0687,99.97224,-0.14,-0.14,0.71,0.71,-0.53,-0.53,-0.98,0.00
9,Exit short,2023-01-15 13:00,Max Hold,1533.46,0.0655,99.852785,-0.59,-0.59,0.55,0.55,-2.59,-2.59,-1.57,0.00
