Trade #,Type,Date and time,Signal,Price USDT,Position size (qty),Position size (value),Net P&L USDT,Net P&L %,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative P&L USDT,Cumulative P&L %
1,Exit long,2025-01-02 12:00,Max Hold,3470.58,0.0295,99.978745,2.3,2.30,2.52,2.52,-0.44,-0.44,2.3,0.00
1,Entry long,2025-01-02 01:00,Long Entry,3389.11,0.0295,99.978745,2.3,2.30,2.52,2.52,-0.44,-0.44,2.3,0.00
2,Exit long,2025-01-04 02:00,Max Hold,3595.65,0.0283,99.801082,1.86,1.86,2.88,2.88,-0.27,-0.27,4.16,0.00
2,Entry long,2025-01-03 15:00,Long Entry,3526.54,0.0283,99.801082,1.86,1.86,2.88,2.88,-0.27,-0.27,4.16,0.00
3,Exit long,2025-01-05 02:00,Max Hold,3635.56,0.0274,99.637086,-0.12,-0.12,1,1.00,-1.33,-1.34,4.03,0.00
3,Entry long,2025-01-04 15:00,Long Entry,3636.39,0.0274,99.637086,-0.12,-0.12,1,1.00,-1.33,-1.34,4.03,0.00
4,Exit short,2025-01-05 22:00,Max Hold,3644.52,0.0276,99.765444,-0.92,-0.93,0.57,0.57,-1.2,-1.20,3.11,0.00
4,Entry short,2025-01-05 11:00,Short Entry,3614.69,0.0276,99.765444,-0.92,-0.93,0.57,0.57,-1.2,-1.20,3.11,0.00
5,Exit long,2025-01-06 16:00,Max Hold,3712.99,0.0272,99.873504,1.02,1.02,1.1,1.10,-1.44,-1.44,4.13,0.00
5,Entry long,2025-01-06 05:00,Long Entry,3671.82,0.0272,99.873504,1.02,1.02,1.1,1.10,-1.44,-1.44,4.13,0.00
6,Exit long,2025-01-07 04:00,Max Hold,3681.49,0.0269,99.783129,-0.85,-0.85,0,0.00,-1.54,-1.55,3.28,0.00
6,Entry long,2025-01-06 17:00,Long Entry,3709.41,0.0269,99.783129,-0.85,-0.85,0,0.00,-1.54,-1.55,3.28,0.00
7,Exit short,2025-01-07 23:00,Max Hold,3395.23,0.0274,99.69627,6.57,6.59,7.76,7.78,-0.22,-0.22,9.85,0.01
7,Entry short,2025-01-07 12:00,Short Entry,3638.55,0.0274,99.69627,6.57,6.59,7.76,7.78,-0.22,-0.22,9.85,0.01
8,Exit short,2025-01-09 04:00,Max Hold,3323.6,0.0301,99.726116,-0.41,-0.42,3.16,3.17,-1.33,-1.34,9.44,0.01
8,Entry short,2025-01-08 17:00,Short Entry,3313.16,0.0301,99.726116,-0.41,-0.42,3.16,3.17,-1.33,-1.34,9.44,0.01
9,Exit short,2025-01-10 00:00,Max Hold,3218.24,0.0303,99.83547,2.22,2.23,4.16,4.16,-1.34,-1.35,11.66,0.01
9,Entry short,2025-01-09 13:00,Short Entry,3294.9,0.0303,99.83547,2.22,2.23,4.16,4.16,-1.34,-1.35,11.66,0.01
10,Exit long,2025-01-10 19:00,Max Hold,3285.22,0.0303,99.827895,-0.39,-0.39,0.81,0.81,-3.12,-3.12,11.28,0.01
10,Entry long,2025-01-10 08:00,Long Entry,3294.65,0.0303,99.827895,-0.39,-0.39,0.81,0.81,-3.12,-3.12,11.28,0.01
11,Exit short,2025-01-11 14:00,Max Hold,3266.4,0.0308,99.99528,-0.71,-0.71,0.85,0.85,-1.08,-1.08,10.57,0.01
11,Entry short,2025-01-11 03:00,Short Entry,3246.6,0.0308,99.99528,-0.71,-0.71,0.85,0.85,-1.08,-1.08,10.57,0.01
12,Exit long,2025-01-12 03:00,Max Hold,3288.77,0.0305,99.73683,0.47,0.47,1.45,1.46,-0.43,-0.43,11.04,0.01
12,Entry long,2025-01-11 16:00,Long Entry,3270.06,0.0305,99.73683,0.47,0.47,1.45,1.46,-0.43,-0.43,11.04,0.01
13,Exit short,2025-01-12 20:00,Max Hold,3279.11,0.0308,99.7458,-1.35,-1.35,0.45,0.45,-1.91,-1.92,9.68,0.01
13,Entry short,2025-01-12 09:00,Short Entry,3238.5,0.0308,99.7458,-1.35,-1.35,0.45,0.45,-1.91,-1.92,9.68,0.01
14,Exit short,2025-01-13 16:00,Max Hold,3047.38,0.0308,99.71038,5.75,5.77,10.34,10.37,-0.06,-0.06,15.44,0.02
14,Entry short,2025-01-13 05:00,Short Entry,3237.35,0.0308,99.71038,5.75,5.77,10.34,10.37,-0.06,-0.06,15.44,0.02
15,Exit long,2025-01-14 12:00,Max Hold,3216.21,0.0319,99.928664,2.57,2.57,3.88,3.88,-0.12,-0.12,18.01,0.02
15,Entry long,2025-01-14 01:00,Long Entry,3132.56,0.0319,99.928664,2.57,2.57,3.88,3.88,-0.12,-0.12,18.01,0.02
16,Exit short,2025-01-15 15:00,Flip,3328.4,0.0312,99.860904,-4.09,-4.09,0,0.00,-4.13,-4.13,13.92,0.01
16,Entry short,2025-01-15 13:00,Short Entry,3200.67,0.0312,99.860904,-4.09,-4.09,0,0.00,-4.13,-4.13,13.92,0.01
17,Exit long,2025-01-16 00:00,Max Hold,3449.81,0.03,99.852,3.54,3.54,4.29,4.29,-0.22,-0.22,17.46,0.02
17,Entry long,2025-01-15 15:00,Flip to Long,3328.4,0.03,99.852,3.54,3.54,4.29,4.29,-0.22,-0.22,17.46,0.02
18,Exit short,2025-01-16 20:00,Max Hold,3343.35,0.0301,99.787219,-0.95,-0.95,1.52,1.52,-1.55,-1.55,16.51,0.02
18,Entry short,2025-01-16 09:00,Short Entry,3315.19,0.0301,99.787219,-0.95,-0.95,1.52,1.52,-1.55,-1.55,16.51,0.02
19,Exit short,2025-01-17 05:00,Flip,3369.69,0.0303,99.887586,-2.32,-2.32,0.2,0.20,-3.08,-3.08,14.2,0.01
19,Entry short,2025-01-16 23:00,Short Entry,3296.62,0.0303,99.887586,-2.32,-2.32,0.2,0.20,-3.08,-3.08,14.2,0.01
20,Exit long,2025-01-17 10:00,Max Hold,3402.5,0.0296,99.742824,0.87,0.87,1.25,1.25,-0.4,-0.40,15.07,0.02
20,Entry long,2025-01-17 05:00,Flip to Long,3369.69,0.0296,99.742824,0.87,0.87,1.25,1.25,-0.4,-0.40,15.07,0.02
21,Exit short,2025-01-18 17:00,Max Hold,3252.51,0.0303,99.774264,1.12,1.13,1.99,1.99,-1.69,-1.69,16.19,0.02
21,Entry short,2025-01-18 06:00,Short Entry,3292.88,0.0303,99.774264,1.12,1.13,1.99,1.99,-1.69,-1.69,16.19,0.02
22,Exit long,2025-01-19 09:00,Flip,3221.2,0.0298,99.903606,-4.01,-4.01,0.33,0.33,-4.17,-4.17,12.18,0.01
22,Entry long,2025-01-19 03:00,Long Entry,3352.47,0.0298,99.903606,-4.01,-4.01,0.33,0.33,-4.17,-4.17,12.18,0.01
23,Exit short,2025-01-19 14:00,Max Hold,3276.29,0.031,99.8572,-1.81,-1.81,2.79,2.79,-1.81,-1.81,10.37,0.01
23,Entry short,2025-01-19 09:00,Flip to Short,3221.2,0.031,99.8572,-1.81,-1.81,2.79,2.79,-1.81,-1.81,10.37,0.01
24,Exit long,2025-01-19 22:00,SL,3232.39,0.0293,99.93937,-5.33,-5.33,1.09,1.09,-6.13,-6.13,5.05,0.01
