Trade #,Type,Date and time,Signal,Price USDT,Position size (qty),Position size (value),Net P&L USDT,Net P&L %,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative P&L USDT,Cumulative P&L %
1,Exit long,2023-01-11 03:00,Max Hold,1341.03,0.0799,99.902965,7.14,7.15,7.51,7.52,-0.43,-0.43,7.14,0.01
1,Entry long,2023-01-06 22:00,Long Entry,1250.35,0.0799,99.902965,7.14,7.15,7.51,7.52,-0.43,-0.43,7.14,0.01
2,Exit long,2023-01-12 22:00,SL,1405.36,0.0706,99.939242,-0.82,-0.82,0.03,0.03,-4.11,-4.11,6.32,0.01
2,Entry long,2023-01-12 09:00,Long Entry,1415.57,0.0706,99.939242,-0.82,-0.82,0.03,0.03,-4.11,-4.11,6.32,0.01
3,Exit long,2023-01-17 07:00,Max Hold,1579.75,0.0699,99.868926,10.45,10.46,15.06,15.07,-2.01,-2.01,16.77,0.02
3,Entry long,2023-01-13 02:00,Long Entry,1428.74,0.0699,99.868926,10.45,10.46,15.06,15.07,-2.01,-2.01,16.77,0.02
4,Exit long,2023-01-23 23:00,SL,1598.79,0.0609,99.982575,-2.71,-2.71,2.43,2.43,-3.49,-3.49,14.06,0.01
4,Entry long,2023-01-21 05:00,Long Entry,1641.75,0.0609,99.982575,-2.71,-2.71,2.43,2.43,-3.49,-3.49,14.06,0.01
5,Exit long,2023-01-27 10:00,SL,1562.46,0.0618,99.993018,-3.53,-3.53,1.38,1.38,-4.19,-4.18,10.53,0.01
5,Entry long,2023-01-26 06:00,Long Entry,1618.01,0.0618,99.993018,-3.53,-3.53,1.38,1.38,-4.19,-4.18,10.53,0.01
6,Exit long,2023-01-31 04:00,SL,1554.16,0.062,99.93408,-3.67,-3.67,3.16,3.16,-5.18,-5.18,6.85,0.01
6,Entry long,2023-01-29 19:00,Long Entry,1611.84,0.062,99.93408,-3.67,-3.67,3.16,3.16,-5.18,-5.18,6.85,0.01
7,Exit long,2023-02-06 09:00,Max Hold,1638.8,0.0618,99.968298,1.21,1.21,6.09,6.09,-0.64,-0.64,8.06,0.01
7,Entry long,2023-02-02 04:00,Long Entry,1617.61,0.0618,99.968298,1.21,1.21,6.09,6.09,-0.64,-0.64,8.06,0.01
